request_id,request_type,application_id,arrival_timestamp,batch_size,prompt_size,token_size
0,2,0,0.02472622349672802,1,1693,19
1,2,0,0.12500005357219274,1,7435,8
2,2,0,0.3230935592564882,1,517,94
3,2,0,0.5819373660542393,1,3054,20
4,2,0,0.645211165078737,1,1059,11
5,2,0,0.6830190470138737,1,7436,9
6,2,0,0.7295989685907084,1,1622,8
7,2,0,1.1361528931135965,1,2925,11
8,2,0,1.18428678386536,1,2317,20
9,2,0,1.2021631563305908,1,2684,22
10,2,0,1.4470528004604317,1,1112,16
11,2,0,1.4693165873332354,1,2269,15
12,2,0,1.5027967359169825,1,4880,22
13,2,0,1.5354223913033955,1,1540,17
14,2,0,1.5502711840189354,1,2193,63
15,2,0,1.582856807326035,1,3542,42
16,2,0,1.6715255710745915,1,438,19
17,2,0,1.6927914627860916,1,2057,6
18,2,0,1.853978554356196,1,5452,82
