request_id,request_type,application_id,arrival_timestamp,batch_size,prompt_size,token_size
0,2,0,0.0847661300175321,1,3245,6
1,2,0,0.24760010780909902,1,17,8
2,2,0,0.4885549619248131,1,4783,6
3,2,0,0.5809724327562694,1,945,15
4,2,0,0.676294638173224,1,2929,13
5,2,0,0.6782131730968336,1,3103,6
6,2,0,0.6832093627779074,1,2782,6
7,2,0,0.7156093484512203,1,1280,11
8,2,0,0.7174049389651663,1,2794,109
9,2,0,0.8228115009094598,1,2137,8
10,2,0,0.9047461524531861,1,64,14
11,2,0,0.9319171509886994,1,4585,7
12,2,0,0.995481304996435,1,729,28
13,2,0,1.029017919834246,1,7436,11
14,2,0,1.0311686524266819,1,57,12
15,2,0,1.146630015066327,1,2187,7
16,2,0,1.3111906145086825,1,4685,103
17,2,0,1.4615401123678415,1,7436,11
18,2,0,1.6810156968195913,1,1147,16
19,2,0,1.8193376648777613,1,63,82
20,2,0,1.9614426208323112,1,293,7
